,babynysiis,perc_female,perc_male,gender
488,BRAXSAN,0.0,100.0,M
489,HASAL,54.55,45.45,F
490,GASTAV,37.5,62.5,M
491,FALACATY,85.71,14.290000000000004,F
492,BANAR,14.29,85.71000000000002,M
493,GADANC,0.0,100.0,M
494,BABATAND,0.0,100.0,M
495,MALADARAS,100.0,0.0,F
496,ARNAT,77.78,22.22,F
497,BRAXY,100.0,0.0,F
498,SANAJ,62.07,37.93,F
499,JAGAV,14.29,85.71000000000002,M
500,TL,100.0,0.0,F
501,NADAC,100.0,0.0,F
502,GALDARD,0.0,100.0,M
503,GALFAD,0.0,100.0,M
504,HARALD,8.33,91.67,M
505,EDWARDAN,100.0,0.0,F
506,RALYN,100.0,0.0,F
507,MADAJ,100.0,0.0,F
508,ZAPALAN,66.67,33.33,F
509,INAJAN,100.0,0.0,F
510,CARLYN,100.0,0.0,F
511,ULRACH,0.0,100.0,M
512,MYRY,100.0,0.0,F
513,JYSAL,50.0,50.0,N
514,LATANG,100.0,0.0,F
515,JCY,100.0,0.0,F
516,AHBRY,100.0,0.0,F
517,NAGT,0.0,100.0,M
518,AVAND,100.0,0.0,F
519,LALTAN,0.0,100.0,M
520,LASNAR,83.33,16.67,F
521,HALBAD,0.0,100.0,M
522,ARNANDAN,100.0,0.0,F
523,RAXTAN,0.0,100.0,M
524,ANFARNY,0.0,100.0,M
525,ARANTX,100.0,0.0,F
526,WAST,0.0,100.0,M
527,RAVAR,60.0,40.0,F
528,LANDBARGH,0.0,100.0,M
529,EVALAT,100.0,0.0,F
530,VARAN,60.61,39.39,F
531,VADAL,53.85,46.15,F
532,OTALY,100.0,0.0,F
533,ZARANATY,100.0,0.0,F
534,ABDAR,0.0,100.0,M
535,OLADARATAN,0.0,100.0,M
536,ESNARLD,100.0,0.0,F
537,SYBRY,100.0,0.0,F
538,FANAS,87.5,12.5,F
539,DANAY,100.0,0.0,F
540,ALASDAR,0.0,100.0,M
541,PAGALY,100.0,0.0,F
542,NANH,100.0,0.0,F
543,MARADARD,100.0,0.0,F
544,XARAN,100.0,0.0,F
545,ZANTAR,100.0,0.0,F
546,ESTY,75.0,25.0,F
547,LACAN,72.09,27.91,F
548,CARCH,0.0,100.0,M
549,CASALAN,100.0,0.0,F
550,ARL,54.55,45.45,F
551,NANAD,0.0,100.0,M
552,DALJAN,0.0,100.0,M
553,STARL,60.0,40.0,F
554,MARF,50.0,50.0,N
555,CHRASTRAFAR,0.0,100.0,M
556,JASTANJAN,0.0,100.0,M
557,CARLAN,82.98,17.019999999999996,F
558,PADAR,50.0,50.0,N
559,BANAJANAN,0.0,100.0,M
560,OSGAD,0.0,100.0,M
561,ANARANT,66.67,33.33,F
562,ESTRALAT,100.0,0.0,F
563,YASWAN,0.0,100.0,M
564,CACLALY,100.0,0.0,F
565,EARNAS,100.0,0.0,F
566,TALAS,100.0,0.0,F
567,CARACY,66.67,33.33,F
568,CARNALAT,90.0,10.0,F
569,DALNAR,30.0,70.0,M
570,ISRYAL,0.0,100.0,M
571,GARLAD,20.0,80.0,M
572,SADART,0.0,100.0,M
573,TRV,0.0,100.0,M
574,LYLANY,100.0,0.0,F
575,SANPTAR,0.0,100.0,M
576,DVAGHN,0.0,100.0,M
577,DRANAD,0.0,100.0,M
578,GAVY,100.0,0.0,F
579,MAJARL,100.0,0.0,F
580,LAGACY,75.0,25.0,F
581,AJNAL,0.0,100.0,M
582,BHRAN,100.0,0.0,F
583,APRALAN,100.0,0.0,F
584,GRANDARSAN,0.0,100.0,M
585,PRATACS,100.0,0.0,F
586,CATR,100.0,0.0,F
587,BARLY,42.86,57.14,M
588,DALANGAR,0.0,100.0,M
589,JASALAT,0.0,100.0,M
590,AFY,100.0,0.0,F
591,CADRY,50.0,50.0,N
592,OC,71.43,28.569999999999997,F
593,IRANAS,100.0,0.0,F
594,SRANAC,80.0,20.0,F
595,STCLAR,0.0,100.0,M
596,SAGNAD,0.0,100.0,M
597,ZARAB,0.0,100.0,M
598,ALAXANARY,100.0,0.0,F
599,HATHR,100.0,0.0,F
600,TANVY,100.0,0.0,F
601,NASRADAN,0.0,100.0,M
602,VALDAN,57.14,42.86,F
603,DALARAS,100.0,0.0,F
604,PABL,66.67,33.33,F
605,SANARAC,100.0,0.0,F
606,TADNAN,0.0,100.0,M
607,JRAC,0.0,100.0,M
608,PARANVAR,0.0,100.0,M
609,BACANAN,0.0,100.0,M
610,AXL,0.0,100.0,M
611,FANR,0.0,100.0,M
612,SAGASNAD,0.0,100.0,M
613,BANGALY,0.0,100.0,M
614,NARTAN,0.0,100.0,M
615,ADANJAN,0.0,100.0,M
616,TADRAC,0.0,100.0,M
617,DALAFAN,66.67,33.33,F
618,FRADAL,100.0,0.0,F
